timestamp,impurity_ppm,saturation_pct,ph,status,event
2026-05-17T07:35:00Z,17.5,72.3,7.25,nominal,
2026-05-17T07:40:00Z,17.0,72.0,7.26,nominal,
2026-05-17T07:45:00Z,16.7,71.8,7.26,nominal,
2026-05-17T07:50:00Z,16.3,71.6,7.27,nominal,
2026-05-17T07:55:00Z,16.0,71.4,7.27,nominal,
2026-05-17T08:00:00Z,15.7,71.2,7.27,nominal,
2026-05-17T08:05:00Z,15.3,71.0,7.28,nominal,
2026-05-17T08:10:00Z,15.0,70.8,7.28,nominal,
2026-05-17T08:15:00Z,14.7,70.6,7.28,nominal,
2026-05-17T08:20:00Z,14.3,70.4,7.29,nominal,
2026-05-17T08:25:00Z,14.0,70.2,7.29,nominal,
2026-05-17T08:30:00Z,13.7,70.0,7.29,nominal,
2026-05-17T08:35:00Z,13.3,69.8,7.30,nominal,
2026-05-17T08:40:00Z,13.0,69.6,7.30,nominal,
2026-05-17T08:45:00Z,12.7,69.4,7.30,nominal,
2026-05-17T08:50:00Z,12.3,69.2,7.30,nominal,
2026-05-17T08:55:00Z,12.0,69.0,7.30,nominal,
2026-05-17T09:00:00Z,11.7,68.8,7.30,nominal,
2026-05-17T09:05:00Z,11.3,68.6,7.30,nominal,
2026-05-17T09:10:00Z,11.0,68.4,7.30,nominal,
2026-05-17T09:15:00Z,10.7,68.3,7.30,nominal,
2026-05-17T09:20:00Z,10.5,68.2,7.30,nominal,
2026-05-17T09:25:00Z,10.3,68.1,7.30,nominal,
2026-05-17T09:30:00Z,10.0,68.0,7.30,nominal,
2026-05-17T09:35:00Z,10.0,68.0,7.30,nominal,
2026-05-17T09:40:00Z,10.0,68.0,7.30,nominal,
2026-05-17T09:45:00Z,10.0,68.0,7.30,nominal,
2026-05-17T09:50:00Z,10.0,68.0,7.30,nominal,
2026-05-17T09:55:00Z,10.0,68.0,7.30,nominal,
2026-05-17T10:00:00Z,10.0,68.0,7.30,nominal,
